name,phone,email,address,birthday
John Doe,1234567890,johndoe@example.com,123 Main St,1990-05-01
Jane Smith,9876543210,janesmith@example.com,456 Elm St,1985-10-15
Michael Johnson,5551234567,michaeljohnson@example.com,789 Oak Ave,1978-03-22
Emily Davis,8889990000,emilydavis@example.com,321 Pine Rd,1992-12-07
Robert Wilson,4445556666,robertwilson@example.com,987 Maple Ln,1982-08-19
Jennifer Brown,1112223333,jenniferbrown@example.com,654 Cedar Dr,1995-06-12
David Lee,9998887777,davidlee@example.com,876 Birch Ct,1976-11-25
Sarah Anderson,7776665555,sarahanderson@example.com,543 Spruce Pl,1991-02-28
Christopher Martinez,2223334444,christophermartinez@example.com,234 Juniper Ave,1989-07-05
Jessica Taylor,6667778888,jessicataylor@example.com,765 Willow St,1980-04-10
Matthew Thomas,3334445555,matthewthomas@example.com,432 Fir Rd,1987-01-13
Olivia Garcia,5556667777,oliviagarcia@example.com,321 Pine Rd,1993-09-26
Daniel Hernandez,7778889999,danielhernandez@example.com,987 Maple Ln,1981-05-03
Sophia Moore,8887776666,sophiamoore@example.com,456 Elm St,1994-08-16
Anthony Clark,4443332222,anthonyclark@example.com,543 Spruce Pl,1979-12-29
Mia Lewis,2221110000,mialewis@example.com,654 Cedar Dr,1996-03-04
William Turner,1112223333,williamturner@example.com,876 Birch Ct,1983-10-17
Victoria Scott,9990001111,victoriascott@example.com,234 Juniper Ave,1990-07-20
Andrew Walker,5554443333,andrewwalker@example.com,321 Pine Rd,1988-02-02
Ella Young,3332221111,ellayoung@example.com,432 Fir Rd,1992-11-14
